trace_id,t,throughput_kbps
sweden_1018,14,350.4
sweden_1019,0,630.72
sweden_1019,1,630.72
sweden_1019,2,700.8
sweden_1019,3,700.8
sweden_1019,4,654.0799999999999
sweden_1019,5,665.76
sweden_1019,6,677.4399999999999
sweden_1019,7,677.4399999999999
sweden_1019,8,595.6800000000001
sweden_1019,9,537.28
sweden_1019,10,689.12
sweden_1019,11,700.8
sweden_1019,12,665.76
sweden_1019,13,665.76
sweden_1019,14,619.04
sweden_1019,15,350.4
sweden_104,0,5185.92
sweden_104,1,9799.52
sweden_104,2,13233.439999999999
sweden_104,3,11131.039999999999
sweden_104,4,10126.560000000001
sweden_104,5,10722.240000000002
sweden_104,6,11504.8
sweden_104,7,11563.2
sweden_104,8,12591.039999999999
sweden_104,9,13128.320000000002
sweden_104,10,11524.266666666668
sweden_105,0,14494.88
sweden_105,1,22343.84
sweden_105,2,22390.56
sweden_105,3,19984.48
sweden_105,4,24726.56
sweden_105,5,22121.920000000002
sweden_105,6,21911.68
sweden_105,7,22635.84
sweden_105,8,22133.6
sweden_105,9,21923.359999999997
sweden_105,10,19778.133333333335
sweden_106,0,15522.720000000001
sweden_106,1,22507.36
sweden_106,2,22355.52
sweden_106,3,22273.760000000002
sweden_106,4,18652.96
sweden_106,5,26046.4
sweden_106,6,22250.4
sweden_106,7,21888.32
sweden_106,8,22355.52
sweden_106,9,22857.760000000002
sweden_106,10,22402.239999999998
sweden_106,11,16235.199999999999
sweden_107,0,10488.64
sweden_107,1,22192.0
sweden_107,2,21526.239999999998
sweden_107,3,21643.04
sweden_107,4,22519.04
sweden_107,5,22484.0
sweden_107,6,22565.760000000002
sweden_107,7,21596.32
sweden_107,8,21059.04
sweden_107,9,21491.2
sweden_107,10,21301.4
sweden_11,0,3398.88
sweden_11,1,5898.4
sweden_11,2,9192.16
sweden_11,3,11025.92
sweden_11,4,11142.72
sweden_11,5,11247.84
sweden_11,6,11282.88
sweden_11,7,11388.0
sweden_11,8,10990.880000000001
sweden_11,9,11201.119999999999
sweden_11,10,9133.76
sweden_1116,0,3889.44
sweden_1116,1,5174.24
sweden_1116,2,6061.92
sweden_1116,3,6704.32
sweden_1116,4,7732.160000000001
sweden_1116,5,8140.960000000001
sweden_1116,6,9355.68
sweden_1116,7,9869.6
sweden_1116,8,11656.64
sweden_1116,9,13957.6
sweden_1116,10,15207.36
sweden_1116,11,14927.039999999999
sweden_1116,12,15499.36
sweden_1116,13,15090.560000000001
sweden_1116,14,15277.439999999999
sweden_1116,15,15008.8
sweden_1116,16,15265.76
sweden_1116,17,14401.439999999999
sweden_1116,18,16036.64
sweden_1116,19,15184.0
sweden_1116,20,9460.8
sweden_1116,21,24333.333333333332
sweden_1117,0,11960.32
sweden_1117,1,15102.240000000002
sweden_1117,2,15008.8
sweden_1117,3,15359.2
sweden_1117,4,15078.88
sweden_1117,5,14997.12
sweden_1117,6,15032.16
sweden_1117,7,15359.2
sweden_1117,8,12299.039999999999
sweden_1117,9,17776.96
sweden_1117,10,15113.920000000002
sweden_1117,11,14985.439999999999
sweden_1117,12,15254.079999999998
sweden_1117,13,15207.36
sweden_1117,14,15312.48
sweden_1117,15,14763.52
sweden_1117,16,15148.960000000001
sweden_1117,17,15300.8
sweden_1117,18,15137.279999999999
sweden_1117,19,15324.16
sweden_1117,20,15000.457142857142
sweden_1118,0,8724.960000000001
sweden_1118,1,12158.880000000001
sweden_1118,2,12299.039999999999
sweden_1118,3,13502.079999999998
sweden_1118,4,13945.920000000002
sweden_1118,5,15125.6
sweden_1118,6,15032.16
sweden_1118,7,15137.279999999999
sweden_1118,8,15207.36
sweden_1118,9,14541.6
sweden_1118,10,15230.720000000001
sweden_1118,11,14658.4
sweden_1118,12,15043.84
sweden_1118,13,15008.8
sweden_1118,14,15160.64
sweden_1118,15,14903.679999999998
sweden_1118,16,15008.8
sweden_1118,17,15148.960000000001
sweden_1118,18,12205.6
sweden_1118,19,17706.88
sweden_1118,20,13535.822222222221
sweden_1119,0,11154.4
sweden_1119,1,15312.48
sweden_1119,2,14892.0
sweden_1119,3,15113.920000000002
sweden_1119,4,15195.679999999998
sweden_1119,5,15242.4
sweden_1119,6,15265.76
sweden_1119,7,15230.720000000001
sweden_1119,8,15219.039999999999
sweden_1119,9,11166.08
sweden_1119,10,19272.0
sweden_1119,11,15020.48
sweden_1119,12,15020.48
sweden_1119,13,15440.960000000001
sweden_1119,14,15195.679999999998
sweden_1119,15,15078.88
sweden_1119,16,15172.320000000002
sweden_1119,17,15148.960000000001
sweden_1119,18,15277.439999999999
sweden_1119,19,15020.48
sweden_1119,20,15440.960000000001
sweden_1119,21,7358.4
sweden_112,0,3504.0
sweden_112,1,6949.6
sweden_112,2,11107.68
sweden_112,3,14529.920000000002
sweden_112,4,8070.88
sweden_112,5,7054.719999999999
sweden_112,6,7755.5199999999995
sweden_112,7,8211.039999999999
sweden_112,8,8888.48
sweden_112,9,9530.880000000001
sweden_112,10,7504.400000000001
sweden_113,0,6517.44
sweden_113,1,11481.439999999999
sweden_113,2,14635.039999999999
sweden_113,3,15954.88
sweden_113,4,14681.76
sweden_113,5,10979.2
sweden_113,6,10418.560000000001
sweden_113,7,11224.48
sweden_113,8,12053.76
sweden_113,9,12252.32
sweden_113,10,8993.6
sweden_114,0,4064.6400000000003
sweden_114,1,7755.5199999999995
sweden_114,2,11668.32
sweden_114,3,12345.76
sweden_114,4,12906.4
sweden_114,5,13385.279999999999
sweden_114,6,13210.079999999998
sweden_114,7,12427.52
sweden_114,8,13957.6
sweden_114,9,14786.88
sweden_114,10,8292.8
sweden_1148,0,7603.68
sweden_1148,1,9554.24
sweden_1148,2,9402.4
sweden_1148,3,8386.24
sweden_1148,4,8386.24
sweden_1148,5,8468.0
sweden_1148,6,8491.359999999999
sweden_1148,7,8456.32
sweden_1148,8,9367.36
sweden_1148,9,9589.28
sweden_1148,10,9530.880000000001
sweden_1148,11,9612.64
sweden_1148,12,9449.119999999999
sweden_1148,13,9659.36
sweden_1148,14,9460.8
sweden_1148,15,9752.8
sweden_1148,16,9589.28
sweden_1148,17,8970.24
sweden_1148,18,0.0
sweden_1148,19,19949.44
sweden_1148,20,9519.2
sweden_1148,21,9694.4
sweden_1148,22,8526.4
sweden_1149,0,4006.2400000000002
sweden_1149,1,5723.2
sweden_1149,2,6867.839999999999
sweden_1149,3,7510.24
sweden_1149,4,8304.48
sweden_1149,5,9168.8
sweden_1149,6,9250.560000000001
sweden_1149,7,9320.64
sweden_1149,8,8795.039999999999
sweden_1149,9,9414.08
sweden_1149,10,9402.4
sweden_1149,11,9752.8
sweden_1149,12,9636.0
sweden_1149,13,9647.68
sweden_1149,14,9414.08
sweden_1149,15,9005.28
sweden_1149,16,9005.28
sweden_1149,17,8911.84
sweden_1149,18,8374.560000000001
sweden_1149,19,8327.84
sweden_1149,20,8386.240000000002
sweden_1149,21,7008.0
sweden_115,0,3749.28
sweden_115,1,5256.0
sweden_115,2,5816.64
sweden_115,3,6867.839999999999
sweden_115,4,8374.560000000001
sweden_115,5,11446.4
sweden_115,6,15989.920000000002
sweden_115,7,17379.84
sweden_115,8,16865.92
sweden_115,9,12404.16
sweden_115,10,8789.2
sweden_1150,0,5688.160000000001
sweden_1150,1,8421.28
sweden_1150,2,8409.6
sweden_1150,3,8304.48
sweden_1150,4,9110.4
sweden_1150,5,9332.32
sweden_1150,6,9379.039999999999
sweden_1150,7,9005.28
sweden_1150,8,9273.92
sweden_1150,9,8503.039999999999
sweden_1150,10,8386.24
sweden_1150,11,8386.24
sweden_1150,12,8456.32
sweden_1150,13,8327.84
sweden_1150,14,9250.560000000001
sweden_1150,15,9530.880000000001
sweden_1150,16,7521.92
sweden_1150,17,11119.36
sweden_1150,18,9297.28
sweden_1150,19,9063.68
sweden_1150,20,9188.266666666666
sweden_1151,0,7358.4
sweden_1151,1,9087.039999999999
sweden_1151,2,9180.48
sweden_1151,3,9110.4
sweden_1151,4,9192.16
sweden_1151,5,9308.960000000001
sweden_1151,6,9133.76
sweden_1151,7,9145.439999999999
sweden_1151,8,7767.2
sweden_1151,9,10570.4
sweden_1151,10,9449.119999999999
sweden_1151,11,8596.48
sweden_1151,12,8503.039999999999
sweden_1151,13,8713.28
sweden_1151,14,8584.8
sweden_1151,15,8608.16
sweden_1151,16,8795.039999999999
sweden_1151,17,8619.84
sweden_1151,18,8701.6
sweden_1151,19,8748.32
sweden_1151,20,8383.644444444444
sweden_1180,0,7358.4
sweden_1180,1,8970.24
sweden_1180,2,8888.48
sweden_1180,3,8876.8
sweden_1180,4,8935.2
sweden_1180,5,8818.4
sweden_1180,6,8923.52
sweden_1180,7,8818.4
sweden_1180,8,8608.16
sweden_1180,9,8561.439999999999
sweden_1180,10,8643.2
sweden_1180,11,8666.560000000001
sweden_1180,12,8713.28
sweden_1180,13,9052.0
sweden_1180,14,9180.48
sweden_1180,15,8795.039999999999
sweden_1180,16,3574.0800000000004
sweden_1180,17,4181.4400000000005
sweden_1180,18,19330.4
sweden_1180,19,9028.64
sweden_1180,20,9110.4
sweden_1180,21,23.36
sweden_1180,22,20857.14285714286
sweden_1181,0,7650.4
sweden_1181,1,8981.92
sweden_1181,2,8958.560000000001
sweden_1181,3,8946.880000000001
sweden_1181,4,9052.0
sweden_1181,5,9005.28
sweden_1181,6,9133.76
sweden_1181,7,9180.48
sweden_1181,8,8806.72
sweden_1181,9,4905.6
sweden_1181,10,12392.48
sweden_1181,11,8666.560000000001
sweden_1181,12,8549.76
sweden_1181,13,5396.16
sweden_1181,14,11948.64
sweden_1181,15,8736.64
sweden_1181,16,8666.560000000001
sweden_1181,17,8783.36
sweden_1181,18,8771.68
sweden_1181,19,8608.16
sweden_1181,20,8292.8
sweden_1182,0,7276.639999999999
sweden_1182,1,8654.880000000001
sweden_1182,2,8631.52
sweden_1182,3,8573.119999999999
sweden_1182,4,8643.2
sweden_1182,5,8888.48
sweden_1182,6,8876.8
sweden_1182,7,8713.28
sweden_1182,8,8946.880000000001
sweden_1182,9,8853.439999999999
sweden_1182,10,8876.8
sweden_1182,11,8619.84
sweden_1182,12,9203.84
sweden_1182,13,9016.960000000001
sweden_1182,14,8853.439999999999
sweden_1182,15,8935.2
sweden_1182,16,8783.36
sweden_1182,17,8970.24
sweden_1182,18,8970.24
sweden_1182,19,8958.560000000001
sweden_1182,20,8584.8
sweden_1182,21,8263.6
sweden_1183,0,7440.160000000001
sweden_1183,1,8643.2
sweden_1183,2,8666.560000000001
sweden_1183,3,8584.8
sweden_1183,4,8643.2
sweden_1183,5,8631.52
sweden_1183,6,8549.759999999998
sweden_1183,7,8549.76
sweden_1183,8,8584.8
sweden_1183,9,8643.2
sweden_1183,10,8526.4
sweden_1183,11,8561.439999999999
sweden_1183,12,8526.4
sweden_1183,13,8584.8
sweden_1183,14,8526.4
sweden_1183,15,8654.880000000001
sweden_1183,16,8783.36
sweden_1183,17,8911.84
sweden_1183,18,8666.560000000001
sweden_1183,19,8888.48
sweden_1183,20,8771.68
sweden_1183,21,8390.133333333333
sweden_120,0,9215.52
sweden_120,1,17321.44
sweden_120,2,21467.84
sweden_120,3,21864.96
sweden_120,4,21537.920000000002
sweden_120,5,22659.2
sweden_120,6,21888.32
sweden_120,7,22729.28
sweden_120,8,22542.4
sweden_120,9,22262.079999999998
sweden_120,10,20306.514285714286
sweden_121,0,9297.28
sweden_121,1,18057.28
sweden_121,2,21619.68
sweden_121,3,22378.879999999997
sweden_121,4,22320.48
sweden_121,5,22145.28
sweden_121,6,22110.239999999998
sweden_121,7,22378.879999999997
sweden_121,8,22320.48
sweden_121,9,22577.44
sweden_121,10,20352.4
sweden_1212,0,11434.72
sweden_1212,1,15382.560000000001
sweden_1212,2,15254.079999999998
sweden_1212,3,15499.36
sweden_1212,4,15382.560000000001
sweden_1212,5,15394.24
sweden_1212,6,15476.0
sweden_1212,7,15300.8
sweden_1212,8,15289.12
sweden_1212,9,15417.6
sweden_1212,10,15324.16
sweden_1212,11,15265.76
sweden_1212,12,15359.2
sweden_1212,13,15429.279999999999
sweden_1212,14,15265.76
sweden_1212,15,15417.6
sweden_1212,16,15277.439999999999
sweden_1212,17,15370.88
sweden_1212,18,15616.16
sweden_1212,19,15849.76
sweden_1212,20,15849.76
sweden_1212,21,8059.2
sweden_1213,0,10161.6
sweden_1213,1,15569.439999999999
sweden_1213,2,15219.039999999999
sweden_1213,3,15277.439999999999
sweden_1213,4,15511.039999999999
sweden_1213,5,15966.560000000001
sweden_1213,6,15943.2
sweden_1213,7,15919.84
sweden_1213,8,15943.2
sweden_1213,9,15931.52
sweden_1213,10,15838.079999999998
sweden_1213,11,15534.4
sweden_1213,12,15908.16
sweden_1213,13,15405.920000000002
sweden_1213,14,15651.2
sweden_1213,15,15803.039999999999
sweden_1213,16,15639.52
sweden_1213,17,15429.279999999999
sweden_1213,18,15616.16
sweden_1213,19,15709.6
sweden_1213,20,15476.0
sweden_1213,21,15067.2
sweden_1214,0,11458.08
sweden_1214,1,15324.16
sweden_1214,2,15289.12
sweden_1214,3,15300.8
sweden_1214,4,15347.52
sweden_1214,5,15464.320000000002
sweden_1214,6,15394.24
sweden_1214,7,15359.2
sweden_1214,8,15592.8
sweden_1214,9,15452.64
sweden_1214,10,12088.8
sweden_1214,11,18874.879999999997
sweden_1214,12,15417.6
sweden_1214,13,15300.8
sweden_1214,14,15300.8
sweden_1214,15,15604.48
sweden_1214,16,15627.84
sweden_1214,17,15849.76
sweden_1214,18,16024.960000000001
sweden_1214,19,15709.6
sweden_1214,20,15490.6
sweden_1215,0,11785.119999999999
sweden_1215,1,15674.560000000001
sweden_1215,2,15440.960000000001
sweden_1215,3,15265.76
sweden_1215,4,15534.4
sweden_1215,5,15312.48
sweden_1215,6,15195.679999999998
sweden_1215,7,15394.24
sweden_1215,8,15651.2
sweden_1215,9,15838.080000000002
sweden_1215,10,15943.2
sweden_1215,11,15803.039999999999
sweden_1215,12,15347.52
sweden_1215,13,15277.439999999999
sweden_1215,14,15324.16
sweden_1215,15,15359.2
sweden_1215,16,15289.12
sweden_1215,17,15090.560000000001
sweden_1215,18,15335.84
sweden_1215,19,15511.039999999999
sweden_1215,20,15359.2
sweden_1215,21,9928.0
sweden_122,0,15102.24
sweden_122,1,21584.64
sweden_122,2,22495.68
sweden_122,3,22180.32
sweden_122,4,21970.079999999998
sweden_122,5,21608.0
sweden_122,6,22297.120000000003
sweden_122,7,21222.56
sweden_122,8,22098.56
sweden_122,9,22285.44
sweden_122,10,20647.644444444442
sweden_123,0,13104.960000000001
sweden_123,1,22110.239999999998
sweden_123,2,22262.079999999998
sweden_123,3,22320.48
sweden_123,4,22472.32
sweden_123,5,22051.84
sweden_123,6,20475.04
sweden_123,7,21549.6
sweden_123,8,21713.120000000003
sweden_123,9,20930.56
sweden_123,10,17706.88
sweden_1244,0,11972.0
sweden_1244,1,17531.68
sweden_1244,2,17414.879999999997
sweden_1244,3,17286.4
sweden_1244,4,16807.52
sweden_1244,5,16644.0
sweden_1244,6,16877.6
sweden_1244,7,16725.760000000002
sweden_1244,8,17017.760000000002
sweden_1244,9,17496.64
sweden_1244,10,17566.72
sweden_1244,11,17414.879999999997
sweden_1244,12,17321.44
sweden_1244,13,17566.72
sweden_1244,14,17356.48
sweden_1244,15,17578.4
sweden_1244,16,17508.32
sweden_1244,17,17473.28
sweden_1244,18,17368.16
sweden_1244,19,10920.8
sweden_1244,20,23905.066666666666
sweden_1245,0,8035.839999999999
sweden_1245,1,10138.24
sweden_1245,2,11014.24
sweden_1245,3,11960.32
sweden_1245,4,12871.359999999999
sweden_1245,5,15546.079999999998
sweden_1245,6,16772.48
sweden_1245,7,16749.120000000003
sweden_1245,8,16784.16
sweden_1245,9,16760.8
sweden_1245,10,16725.760000000002
sweden_1245,11,16749.120000000003
sweden_1245,12,16737.44
sweden_1245,13,16538.879999999997
sweden_1245,14,16492.16
sweden_1245,15,17204.64
sweden_1245,16,16830.879999999997
sweden_1245,17,18022.239999999998
sweden_1245,18,17508.32
sweden_1245,19,17601.760000000002
sweden_1245,20,16503.84
sweden_1246,0,7194.88
sweden_1246,1,9589.28
sweden_1246,2,10103.2
sweden_1246,3,11166.08
sweden_1246,4,12042.08
sweden_1246,5,14576.64
sweden_1246,6,16433.760000000002
sweden_1246,7,17181.28
sweden_1246,8,17368.16
sweden_1246,9,17403.2
sweden_1246,10,17496.64
sweden_1246,11,17671.84
sweden_1246,12,17438.239999999998
sweden_1246,13,17438.239999999998
sweden_1246,14,17321.44
sweden_1246,15,17566.72
sweden_1246,16,17414.879999999997
sweden_1246,17,17017.760000000002
sweden_1246,18,16562.239999999998
sweden_1246,19,16737.44
sweden_1246,20,16690.72
sweden_1246,21,1168.0
sweden_1247,0,13023.2
sweden_1247,1,15744.64
sweden_1247,2,13630.560000000001
