trace_id,t,throughput_kbps
italy_1157,7,31921.440000000002
italy_1157,8,31898.079999999998
italy_1157,9,31909.760000000002
italy_1157,10,31944.8
italy_1157,11,31909.76
italy_1157,12,31804.640000000003
italy_1157,13,32003.2
italy_1157,14,31746.24
italy_1157,15,31933.120000000003
italy_1157,16,31863.04
italy_1157,17,31886.4
italy_1157,18,31909.76
italy_1157,19,31909.76
italy_1157,20,29745.066666666666
italy_1158,0,27880.159999999996
italy_1158,1,31851.359999999997
italy_1158,2,31839.68
italy_1158,3,31886.4
italy_1158,4,31711.2
italy_1158,5,31944.8
italy_1158,6,31874.72
italy_1158,7,31944.8
italy_1158,8,31863.04
italy_1158,9,31781.28
italy_1158,10,31734.559999999998
italy_1158,11,31676.159999999996
italy_1158,12,31863.04
italy_1158,13,31816.32
italy_1158,14,31921.440000000002
italy_1158,15,31886.4
italy_1158,16,31909.76
italy_1158,17,31886.4
italy_1158,18,31933.120000000003
italy_1158,19,31886.4
italy_1158,20,31863.04
italy_1159,0,10138.24
italy_1159,1,13361.920000000002
italy_1159,2,16538.879999999997
italy_1159,3,19155.2
italy_1159,4,21561.28
italy_1159,5,25030.239999999998
italy_1159,6,31290.72
italy_1159,7,31909.76
italy_1159,8,31944.8
italy_1159,9,31968.159999999996
italy_1159,10,31909.76
italy_1159,11,31898.079999999998
italy_1159,12,31909.76
italy_1159,13,31921.440000000002
italy_1159,14,31898.079999999998
italy_1159,15,16900.96
italy_1159,16,46918.56
italy_1159,17,31909.76
italy_1159,18,31933.120000000003
italy_1159,19,31933.120000000003
italy_1159,20,30932.533333333336
italy_1188,0,27483.04
italy_1188,1,31816.32
italy_1188,2,31839.68
italy_1188,3,31792.96
italy_1188,4,31594.4
italy_1188,5,31699.52
italy_1188,6,31781.28
italy_1188,7,31746.24
italy_1188,8,31746.24
italy_1188,9,31851.359999999997
italy_1188,10,31792.96
italy_1188,11,31629.440000000002
italy_1188,12,31477.6
italy_1188,13,31816.32
italy_1188,14,31816.32
italy_1188,15,31839.68
italy_1188,16,31734.559999999998
italy_1188,17,31711.2
italy_1188,18,31676.159999999996
italy_1188,19,31746.24
italy_1188,20,31442.559999999998
italy_1189,0,9028.64
italy_1189,1,13291.84
italy_1189,2,15417.6
italy_1189,3,18325.920000000002
italy_1189,4,21269.28
italy_1189,5,23780.48
italy_1189,6,32049.920000000002
italy_1189,7,40716.479999999996
italy_1189,8,42258.240000000005
italy_1189,9,39653.6
italy_1189,10,40062.4
italy_1189,11,41615.840000000004
italy_1189,12,41767.68
italy_1189,13,42818.88
italy_1189,14,44290.56
italy_1189,15,42795.520000000004
italy_1189,16,43134.240000000005
italy_1189,17,43881.759999999995
italy_1189,18,43379.520000000004
italy_1189,19,42830.56
italy_1189,20,33910.933333333334
italy_1190,0,17776.96
italy_1190,1,21397.760000000002
italy_1190,2,24948.48
italy_1190,3,26828.96
italy_1190,4,23675.36
italy_1190,5,20253.120000000003
italy_1190,6,19961.120000000003
italy_1190,7,21900.0
italy_1190,8,23021.28
italy_1190,9,26992.48
italy_1190,10,30029.28
italy_1190,11,31430.879999999997
italy_1190,12,32996.0
italy_1190,13,37025.6
italy_1190,14,38614.08
italy_1190,15,38485.6
italy_1190,16,43087.520000000004
italy_1190,17,43426.240000000005
italy_1190,18,41428.96
italy_1190,19,43332.8
italy_1190,20,36850.399999999994
italy_1191,0,34257.44
italy_1191,1,38730.88
italy_1191,2,40039.04
italy_1191,3,41697.6
italy_1191,4,41720.96
italy_1191,5,42994.08
italy_1191,6,42982.4
italy_1191,7,41358.88
italy_1191,8,45271.68
italy_1191,9,43449.6
italy_1191,10,42994.08
italy_1191,11,43099.2
italy_1191,12,41872.8
italy_1191,13,42772.159999999996
italy_1191,14,40868.32
italy_1191,15,42059.68
italy_1191,16,37819.840000000004
italy_1191,17,41218.72
italy_1191,18,39980.64
italy_1191,19,41101.92
italy_1191,20,35670.72
italy_1220,0,9203.84
italy_1220,1,12485.92
italy_1220,2,15137.279999999999
italy_1220,3,17706.879999999997
italy_1220,4,19669.120000000003
italy_1220,5,22554.079999999998
italy_1220,6,25988.0
italy_1220,7,28989.76
italy_1220,8,30776.8
italy_1220,9,33147.840000000004
italy_1220,10,35565.6
italy_1220,11,39022.88
italy_1220,12,43881.759999999995
italy_1220,13,43823.36
italy_1220,14,43543.04
italy_1220,15,43309.44
italy_1220,16,43811.68
italy_1220,17,44068.64
italy_1220,18,44208.8
italy_1220,19,43578.08
italy_1220,20,33288.0
italy_1221,0,10138.24
italy_1221,1,13548.8
italy_1221,2,15861.439999999999
italy_1221,3,18068.96
italy_1221,4,20428.32
italy_1221,5,23687.04
italy_1221,6,29678.879999999997
italy_1221,7,33755.2
italy_1221,8,36406.56
italy_1221,9,39770.4
italy_1221,10,35717.44
italy_1221,11,35320.32
italy_1221,12,37411.04
italy_1221,13,39817.12
italy_1221,14,40541.28
italy_1221,15,41405.6
italy_1221,16,42281.6
italy_1221,17,42982.4
italy_1221,18,44524.159999999996
italy_1221,19,43461.28
italy_1221,20,31536.0
italy_1222,0,29410.24
italy_1222,1,35472.159999999996
italy_1222,2,38018.4
italy_1222,3,40494.56
italy_1222,4,33661.759999999995
italy_1222,5,29900.8
italy_1222,6,30076.0
italy_1222,7,30928.640000000003
italy_1222,8,31909.76
italy_1222,9,34514.4
italy_1222,10,35986.08
italy_1222,11,38871.04
italy_1222,12,42211.520000000004
italy_1222,13,42304.96
italy_1222,14,44197.12
italy_1222,15,43916.8
italy_1222,16,44267.2
italy_1222,17,44757.759999999995
italy_1222,18,44056.96
italy_1222,19,44594.240000000005
italy_1222,20,38894.4
italy_1223,0,10103.2
italy_1223,1,14775.2
italy_1223,2,17251.36
italy_1223,3,19026.72
italy_1223,4,22086.879999999997
italy_1223,5,25135.36
italy_1223,6,29375.2
italy_1223,7,39092.96
italy_1223,8,44419.04
italy_1223,9,44757.759999999995
italy_1223,10,44909.6
italy_1223,11,44115.36
italy_1223,12,44559.2
italy_1223,13,42398.4
italy_1223,14,42129.759999999995
italy_1223,15,43064.159999999996
italy_1223,16,40588.0
italy_1223,17,39373.280000000006
italy_1223,18,47596.0
italy_1223,19,44547.52
italy_1223,20,38060.114285714284
italy_1252,0,18991.68
italy_1252,1,23873.920000000002
italy_1252,2,26583.68
italy_1252,3,28674.4
italy_1252,4,30578.24
italy_1252,5,31267.359999999997
italy_1252,6,30963.68
italy_1252,7,31676.159999999996
italy_1252,8,31711.2
italy_1252,9,31419.2
italy_1252,10,31851.359999999997
italy_1252,11,31898.079999999998
italy_1252,12,31816.32
italy_1252,13,31652.8
italy_1252,14,23535.2
italy_1252,15,39595.2
italy_1252,16,31968.159999999996
italy_1252,17,31886.4
italy_1252,18,31851.359999999997
italy_1252,19,31816.32
italy_1252,20,31269.028571428575
italy_1253,0,27412.96
italy_1253,1,31489.28
italy_1253,2,31699.52
italy_1253,3,31594.4
italy_1253,4,31898.079999999998
italy_1253,5,31781.28
italy_1253,6,31874.72
italy_1253,7,28639.359999999997
italy_1253,8,25497.44
italy_1253,9,27669.920000000002
italy_1253,10,30017.6
italy_1253,11,31617.76
italy_1253,12,31816.32
italy_1253,13,30928.640000000003
italy_1253,14,31933.120000000003
italy_1253,15,31839.68
italy_1253,16,31863.04
italy_1253,17,31886.4
italy_1253,18,31804.640000000003
italy_1253,19,31886.4
italy_1253,20,21841.600000000002
italy_1254,0,11691.68
italy_1254,1,28335.68
italy_1254,2,31921.440000000002
italy_1254,3,31886.4
italy_1254,4,31734.559999999998
italy_1254,5,31851.359999999997
italy_1254,6,31267.359999999997
italy_1254,7,31933.120000000003
italy_1254,8,31828.0
italy_1254,9,31863.04
italy_1254,10,31839.68
italy_1254,11,31933.120000000003
italy_1254,12,31874.72
italy_1254,13,31886.4
italy_1254,14,31956.48
italy_1254,15,31898.079999999998
italy_1254,16,31874.72
italy_1254,17,31909.76
italy_1254,18,31921.440000000002
italy_1254,19,31828.0
italy_1254,20,31025.0
italy_1255,0,9928.0
italy_1255,1,13011.52
italy_1255,2,15966.560000000001
italy_1255,3,18629.6
italy_1255,4,20930.56
italy_1255,5,24586.4
italy_1255,6,29433.6
italy_1255,7,31863.04
italy_1255,8,31851.359999999997
italy_1255,9,31851.359999999997
italy_1255,10,31921.440000000002
italy_1255,11,31874.72
italy_1255,12,31816.32
italy_1255,13,31839.68
italy_1255,14,31944.8
italy_1255,15,31746.24
